会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
1955120718,PPE,越南电力油气咨询工程公司,出售,51200,6.00,307200.00,3072.00,交易锁定,"2016-07-02 20:16:53"
195607102,PPE,越南电力油气咨询工程公司,出售,255,6.00,1530.00,15.30,交易锁定,"2016-07-02 20:16:51"
19631120,PPE,越南电力油气咨询工程公司,出售,87323,5.00,436615.00,4366.15,交易锁定,"2016-07-02 16:31:51"
195607106,PPE,越南电力油气咨询工程公司,出售,65265,5.00,326325.00,3263.25,交易锁定,"2016-07-02 16:31:51"
195607103,PPE,越南电力油气咨询工程公司,出售,40954,5.00,204770.00,2047.70,交易锁定,"2016-07-02 16:31:48"
27267278,PPE,越南电力油气咨询工程公司,出售,10000,5.00,50000.00,500.00,交易锁定,"2016-07-02 16:31:48"
001288,PPE,越南电力油气咨询工程公司,出售,4128,5.00,20640.00,206.40,交易锁定,"2016-07-02 16:31:47"
19951878,HPM,皇富矿业,购买,2409,5.17,12454.53,0.00,交易锁定,"2016-07-01 15:59:43"
20150178,PPE,越南电力油气咨询工程公司,购买,5000,4.00,20000.00,0.00,交易锁定,"2016-07-01 15:59:32"
20150178,PPE,越南电力油气咨询工程公司,购买,5000,4.00,20000.00,0.00,交易锁定,"2016-07-01 15:59:19"
0071729,HPM,皇富矿业,出售,3200,5.17,16544.00,165.44,交易锁定,"2016-07-01 15:59:09"
ZTX888,HPM,皇富矿业,出售,100000,5.17,517000.00,5170.00,交易锁定,"2016-07-01 15:59:03"
20150668,PPE,越南电力油气咨询工程公司,购买,3000,4.00,12000.00,0.00,交易锁定,"2016-07-01 15:58:28"
10001063,HPM,皇富矿业,出售,3000,5.17,15510.00,155.10,交易锁定,"2016-07-01 15:57:57"
283689,HPM,皇富矿业,出售,104356,5.17,539520.52,5395.21,交易锁定,"2016-07-01 15:57:47"
32575178,HPM,皇富矿业,购买,4000,5.17,20680.00,0.00,交易锁定,"2016-07-01 15:57:11"
89099729,PPE,越南电力油气咨询工程公司,购买,675,4.00,2700.00,0.00,交易锁定,"2016-07-01 15:57:00"
73247336,HPM,皇富矿业,出售,4037,5.17,20871.29,208.71,交易锁定,"2016-07-01 15:55:13"
LB696,PPE,越南电力油气咨询工程公司,出售,19935,4.00,79740.00,797.40,交易锁定,"2016-07-01 15:54:54"
98889088,HPM,皇富矿业,出售,6989,5.17,36133.13,361.33,交易锁定,"2016-07-01 15:53:58"
99988888,HPM,皇富矿业,出售,1000,5.17,5170.00,51.70,交易锁定,"2016-07-01 15:53:51"
00707065,HPM,皇富矿业,出售,10000,5.17,51700.00,517.00,交易锁定,"2016-07-01 15:52:54"
37124905,HPM,皇富矿业,购买,4349,5.17,22484.33,0.00,交易锁定,"2016-07-01 15:52:44"
76020828,PPE,越南电力油气咨询工程公司,购买,93,4.00,372.00,0.00,交易锁定,"2016-07-01 15:52:29"
YT1972,PPE,越南电力油气咨询工程公司,出售,20000,4.00,80000.00,800.00,交易锁定,"2016-07-01 15:52:17"
99889988,PPE,越南电力油气咨询工程公司,出售,1800,4.00,7200.00,72.00,交易锁定,"2016-07-01 15:51:23"
00707065,HPM,皇富矿业,出售,10000,5.17,51700.00,517.00,交易锁定,"2016-07-01 15:51:08"
80607777,PPE,越南电力油气咨询工程公司,出售,500,4.00,2000.00,20.00,交易锁定,"2016-07-01 15:50:50"
79582378,PPE,越南电力油气咨询工程公司,购买,12500,4.00,50000.00,0.00,交易锁定,"2016-07-01 15:50:46"
66189998,HPM,皇富矿业,出售,13802,5.17,71356.34,713.56,交易锁定,"2016-07-01 15:50:38"
18008001,HPM,皇富矿业,出售,5000,5.17,25850.00,258.50,交易锁定,"2016-07-01 15:50:34"
YT39717,PPE,越南电力油气咨询工程公司,购买,800,4.00,3200.00,0.00,交易锁定,"2016-07-01 15:50:23"
LBL,HPM,皇富矿业,购买,18,5.17,93.06,0.00,交易锁定,"2016-07-01 15:50:17"
42090418,PPE,越南电力油气咨询工程公司,购买,10000,4.00,40000.00,0.00,交易锁定,"2016-07-01 15:50:13"
HFX008,HPM,皇富矿业,购买,20000,5.17,103400.00,0.00,交易锁定,"2016-07-01 15:50:06"
8890282,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:49:52"
86466918,PPE,越南电力油气咨询工程公司,出售,98746,4.00,394984.00,3949.84,交易锁定,"2016-07-01 15:49:45"
P96372179,HPM,皇富矿业,出售,6263,5.17,32379.71,323.80,交易锁定,"2016-07-01 15:49:24"
8890282,HPM,皇富矿业,购买,709,5.17,3665.53,0.00,交易锁定,"2016-07-01 15:49:15"
K85381818,HPM,皇富矿业,出售,2557,5.17,13219.69,132.20,交易锁定,"2016-07-01 15:49:13"
44063697,HPM,皇富矿业,出售,1152,5.17,5955.84,59.56,交易锁定,"2016-07-01 15:49:08"
P777888,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:48:40"
283689,HPM,皇富矿业,出售,20000,5.17,103400.00,1034.00,交易锁定,"2016-07-01 15:48:23"
32575178,HPM,皇富矿业,购买,5150,5.17,26625.50,0.00,交易锁定,"2016-07-01 15:48:18"
WSC001,HPM,皇富矿业,购买,19,5.17,98.23,0.00,交易锁定,"2016-07-01 15:48:07"
YW7813,PPE,越南电力油气咨询工程公司,出售,47501,4.00,190004.00,1900.04,交易锁定,"2016-07-01 15:48:00"
18926938,PPE,越南电力油气咨询工程公司,出售,7657,4.00,30628.00,306.28,交易锁定,"2016-07-01 15:47:46"
24949169,HPM,皇富矿业,出售,65908,5.17,340744.36,3407.44,交易锁定,"2016-07-01 15:47:26"
LXD118,HPM,皇富矿业,购买,18883,5.17,97625.11,0.00,交易锁定,"2016-07-01 15:47:08"
33995460,PPE,越南电力油气咨询工程公司,出售,10984,4.00,43936.00,439.36,交易锁定,"2016-07-01 15:46:51"
28258957,HPM,皇富矿业,出售,324,5.17,1675.08,16.75,交易锁定,"2016-07-01 15:46:39"
00707065,HPM,皇富矿业,出售,50000,5.17,258500.00,2585.00,交易锁定,"2016-07-01 15:46:32"
001001911,PPE,越南电力油气咨询工程公司,购买,1000,4.00,4000.00,0.00,交易锁定,"2016-07-01 15:46:10"
ZH9168,PPE,越南电力油气咨询工程公司,出售,125410,4.00,501640.00,5016.40,交易锁定,"2016-07-01 15:46:10"
P01594981,PPE,越南电力油气咨询工程公司,出售,839,4.00,3356.00,33.56,交易锁定,"2016-07-01 15:45:48"
60004839,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:45:42"
13478007,PPE,越南电力油气咨询工程公司,出售,7609,4.00,30436.00,304.36,交易锁定,"2016-07-01 15:45:32"
K91204402,PPE,越南电力油气咨询工程公司,出售,37000,4.00,148000.00,1480.00,交易锁定,"2016-07-01 15:45:22"
YT39717,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:45:12"
yt072,PPE,越南电力油气咨询工程公司,购买,652,4.00,2608.00,0.00,交易锁定,"2016-07-01 15:44:59"
YT7977,PPE,越南电力油气咨询工程公司,出售,10000,4.00,40000.00,400.00,交易锁定,"2016-07-01 15:44:48"
WSC001,PPE,越南电力油气咨询工程公司,出售,133,4.00,532.00,5.32,交易锁定,"2016-07-01 15:44:40"
106120,PPE,越南电力油气咨询工程公司,出售,4946,4.00,19784.00,197.84,交易锁定,"2016-07-01 15:44:16"
319,PPE,越南电力油气咨询工程公司,出售,3904,4.00,15616.00,156.16,交易锁定,"2016-07-01 15:43:55"
52852899,HPM,皇富矿业,出售,6123,5.17,31655.91,316.56,交易锁定,"2016-07-01 15:43:23"
YW998813,HPM,皇富矿业,购买,3412,5.17,17640.04,0.00,交易锁定,"2016-07-01 15:43:17"
LWY001,PPE,越南电力油气咨询工程公司,出售,3350,4.00,13400.00,134.00,交易锁定,"2016-07-01 15:43:17"
31138977,PPE,越南电力油气咨询工程公司,购买,245,4.00,980.00,0.00,交易锁定,"2016-07-01 15:42:57"
