会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
32575178,HPM,皇富矿业,购买,10000,5.19,51900.00,0.00,交易锁定,"2016-06-30 16:00:00"
60982668,HPM,皇富矿业,出售,1250,5.19,6487.50,64.88,交易锁定,"2016-06-30 15:59:54"
LYZ100706,PPE,越南电力油气咨询工程公司,购买,34945,4.02,140478.90,0.00,交易锁定,"2016-06-30 15:59:50"
66678888,HPM,皇富矿业,出售,10000,5.19,51900.00,519.00,交易锁定,"2016-06-30 15:59:48"
1699,PPE,越南电力油气咨询工程公司,购买,3870,4.02,15557.40,0.00,交易锁定,"2016-06-30 15:59:45"
00100160,PPE,越南电力油气咨询工程公司,购买,5000,4.02,20100.00,0.00,交易锁定,"2016-06-30 15:59:34"
85639,PPE,越南电力油气咨询工程公司,购买,2000,4.02,8040.00,0.00,交易锁定,"2016-06-30 15:59:32"
P88380349,HPM,皇富矿业,出售,4837,5.19,25104.03,251.04,交易锁定,"2016-06-30 15:59:14"
19611156,PPE,越南电力油气咨询工程公司,购买,20000,4.02,80400.00,0.00,交易锁定,"2016-06-30 15:59:10"
P66688888,HPM,皇富矿业,出售,2150,5.19,11158.50,111.59,交易锁定,"2016-06-30 15:59:08"
85639,PPE,越南电力油气咨询工程公司,购买,10000,4.02,40200.00,0.00,交易锁定,"2016-06-30 15:58:49"
P82617999,PPE,越南电力油气咨询工程公司,购买,3094,4.02,12437.88,0.00,交易锁定,"2016-06-30 15:58:48"
2808998,HPM,皇富矿业,出售,16507,5.19,85671.33,856.71,交易锁定,"2016-06-30 15:58:44"
00100105,PPE,越南电力油气咨询工程公司,购买,6500,4.02,26130.00,0.00,交易锁定,"2016-06-30 15:58:39"
66688888,HPM,皇富矿业,出售,10617,5.19,55102.23,551.02,交易锁定,"2016-06-30 15:58:31"
32575178,HPM,皇富矿业,购买,10000,5.19,51900.00,0.00,交易锁定,"2016-06-30 15:58:29"
95566127,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:58:26"
51819999,HPM,皇富矿业,出售,5000,5.19,25950.00,259.50,交易锁定,"2016-06-30 15:58:22"
15815899,PPE,越南电力油气咨询工程公司,购买,180,4.02,723.60,0.00,交易锁定,"2016-06-30 15:58:21"
82039888,HPM,皇富矿业,出售,11309,5.19,58693.71,586.94,交易锁定,"2016-06-30 15:58:17"
009009018,PPE,越南电力油气咨询工程公司,购买,2000,4.02,8040.00,0.00,交易锁定,"2016-06-30 15:58:15"
K92609928,PPE,越南电力油气咨询工程公司,购买,1240,4.02,4984.80,0.00,交易锁定,"2016-06-30 15:58:14"
P05476139,HPM,皇富矿业,出售,32000,5.19,166080.00,1660.80,交易锁定,"2016-06-30 15:58:02"
P17772999,HPM,皇富矿业,出售,1000,5.19,5190.00,51.90,交易锁定,"2016-06-30 15:58:01"
60572725,PPE,越南电力油气咨询工程公司,购买,8000,4.02,32160.00,0.00,交易锁定,"2016-06-30 15:57:53"
32575178,PPE,越南电力油气咨询工程公司,购买,2000,4.02,8040.00,0.00,交易锁定,"2016-06-30 15:57:47"
YT951018,PPE,越南电力油气咨询工程公司,购买,2895,4.02,11637.90,0.00,交易锁定,"2016-06-30 15:57:33"
YT968178,PPE,越南电力油气咨询工程公司,购买,45,4.02,180.90,0.00,交易锁定,"2016-06-30 15:57:33"
15815899,HPM,皇富矿业,出售,4000,5.19,20760.00,207.60,交易锁定,"2016-06-30 15:57:30"
52712506,HPM,皇富矿业,出售,3753,5.19,19478.07,194.78,交易锁定,"2016-06-30 15:57:21"
99992133,PPE,越南电力油气咨询工程公司,购买,1066,4.02,4285.32,0.00,交易锁定,"2016-06-30 15:57:19"
YT555679,PPE,越南电力油气咨询工程公司,购买,200,4.02,804.00,0.00,交易锁定,"2016-06-30 15:57:17"
99991266,PPE,越南电力油气咨询工程公司,购买,5000,4.02,20100.00,0.00,交易锁定,"2016-06-30 15:57:11"
32575178,HPM,皇富矿业,购买,10000,5.19,51900.00,0.00,交易锁定,"2016-06-30 15:57:08"
11413187,PPE,越南电力油气咨询工程公司,购买,1943,4.02,7810.86,0.00,交易锁定,"2016-06-30 15:57:00"
YT195712,PPE,越南电力油气咨询工程公司,购买,3332,4.02,13394.64,0.00,交易锁定,"2016-06-30 15:56:53"
1268866,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:56:46"
P90680938,HPM,皇富矿业,出售,2979,5.19,15461.01,154.61,交易锁定,"2016-06-30 15:56:39"
MM5200,PPE,越南电力油气咨询工程公司,购买,2363,4.02,9499.26,0.00,交易锁定,"2016-06-30 15:56:38"
12137388,HPM,皇富矿业,出售,6720,5.19,34876.80,348.77,交易锁定,"2016-06-30 15:56:33"
95566127,PPE,越南电力油气咨询工程公司,购买,9270,4.02,37265.40,0.00,交易锁定,"2016-06-30 15:56:33"
6689,PPE,越南电力油气咨询工程公司,购买,2376,4.02,9551.52,0.00,交易锁定,"2016-06-30 15:56:33"
0072066,PPE,越南电力油气咨询工程公司,购买,10,4.02,40.20,0.00,交易锁定,"2016-06-30 15:56:30"
105032,PPE,越南电力油气咨询工程公司,购买,5,4.02,20.10,0.00,交易锁定,"2016-06-30 15:56:29"
00100109,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:56:29"
YT5796,HPM,皇富矿业,出售,2280,5.19,11833.20,118.33,交易锁定,"2016-06-30 15:56:13"
00800808,PPE,越南电力油气咨询工程公司,购买,15,4.02,60.30,0.00,交易锁定,"2016-06-30 15:55:51"
66890,PPE,越南电力油气咨询工程公司,购买,38,4.02,152.76,0.00,交易锁定,"2016-06-30 15:55:51"
52712506,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易锁定,"2016-06-30 15:55:48"
105032,PPE,越南电力油气咨询工程公司,购买,700,4.02,2814.00,0.00,交易锁定,"2016-06-30 15:55:46"
00900967,HPM,皇富矿业,出售,23860,5.19,123833.40,1238.33,交易锁定,"2016-06-30 15:55:38"
YW3613,PPE,越南电力油气咨询工程公司,购买,1,4.02,4.02,0.00,交易锁定,"2016-06-30 15:55:38"
19862988,PPE,越南电力油气咨询工程公司,购买,6,4.02,24.12,0.00,交易锁定,"2016-06-30 15:55:34"
0072504,PPE,越南电力油气咨询工程公司,购买,89,4.02,357.78,0.00,交易锁定,"2016-06-30 15:55:27"
18266918,HPM,皇富矿业,出售,9218,5.19,47841.42,478.41,交易锁定,"2016-06-30 15:55:25"
LHC,PPE,越南电力油气咨询工程公司,购买,100,4.02,402.00,0.00,交易锁定,"2016-06-30 15:55:24"
82673789,PPE,越南电力油气咨询工程公司,购买,22870,4.02,91937.40,0.00,交易锁定,"2016-06-30 15:55:23"
573592,PPE,越南电力油气咨询工程公司,购买,20594,4.02,82787.88,0.00,交易锁定,"2016-06-30 15:55:22"
66665758,PPE,越南电力油气咨询工程公司,购买,175,4.02,703.50,0.00,交易锁定,"2016-06-30 15:55:20"
